id,age,income,educ,gender,vacc_b,treat,vacc_e,missing
771,81,1,2,0,1,1,2,0
772,69,9,2,1,5,1,5,0
773,45,3,2,0,4,1,5,0
774,20,9,3,0,1,2,1,0
775,81,5,1,1,5,2,5,0
776,82,9,1,0,2,0,3,0
777,18,6,2,0,4,1,5,0
778,73,8,2,0,4,1,5,0
779,55,2,2,1,5,1,5,0
780,62,6,2,0,1,1,1,0
781,73,5,2,0,4,0,NA,1
782,24,7,2,1,2,0,1,0
783,85,6,3,1,3,2,NA,1
784,76,7,2,1,3,1,3,0
785,61,4,2,0,5,0,5,0
786,31,7,3,1,1,1,2,0
787,74,1,2,0,1,2,3,0
788,48,9,3,1,5,1,5,0
789,15,6,3,1,1,1,1,0
790,82,5,2,1,1,1,2,0
791,32,1,3,1,5,0,5,0
792,45,5,2,0,3,0,4,0
793,36,5,3,1,5,0,5,0
794,77,9,1,1,5,2,NA,1
795,15,2,2,0,5,2,4,0
796,46,1,2,1,4,0,4,0
797,40,6,3,0,1,1,1,0
798,15,9,3,1,3,0,3,0
799,46,7,1,0,3,2,3,0
800,39,5,2,1,1,2,NA,1
801,34,6,2,0,5,0,5,0
802,22,8,2,1,5,0,5,0
803,30,3,1,0,4,0,5,0
804,38,1,3,0,3,0,4,0
805,43,6,3,0,2,2,3,0
806,24,9,2,1,3,1,4,0
807,20,9,2,0,1,1,1,0
808,56,4,2,0,1,1,2,0
809,30,7,3,1,5,1,5,0
810,18,9,2,0,2,2,2,0
811,70,9,3,0,2,0,NA,1
812,33,6,3,0,3,1,4,0
813,42,8,3,0,5,1,5,0
814,84,1,2,0,2,2,2,0
815,49,1,2,1,4,0,5,0
816,30,9,2,0,2,0,2,0
817,48,8,2,1,3,1,4,0
818,50,5,3,0,2,0,2,0
819,22,7,2,0,4,1,4,0
820,28,3,2,1,3,2,3,0
821,80,9,3,1,1,1,2,0
822,25,8,2,1,1,2,2,0
823,63,3,2,1,1,1,3,0
824,46,1,3,0,3,0,4,0
825,73,9,3,1,4,1,5,0
826,50,7,1,1,3,1,4,0
827,69,4,2,1,3,0,4,0
828,39,5,3,1,1,0,1,0
829,24,7,2,0,2,0,4,0
830,27,9,3,1,3,0,4,0
831,35,6,2,1,3,0,5,0
832,28,2,2,1,1,2,1,0
833,63,9,2,0,3,2,3,0
834,31,8,1,1,2,2,2,0
835,81,9,3,0,4,1,5,0
836,59,8,3,1,5,1,5,0
837,80,1,2,0,4,1,5,0
838,25,5,2,1,1,0,3,0
839,61,5,2,0,1,1,1,0
840,66,3,2,1,1,2,2,0
841,84,5,3,0,1,1,1,0
842,23,1,2,0,2,0,NA,1
843,44,6,2,0,3,1,NA,1
844,35,6,1,1,4,1,5,0
845,61,4,2,0,5,2,5,0
846,26,5,3,0,5,2,5,0
847,22,9,2,1,2,2,2,0
848,76,8,2,1,4,0,5,0
849,81,4,2,1,3,0,4,0
850,17,2,2,0,1,1,1,0
851,73,7,3,0,4,1,5,0
852,29,7,2,0,3,2,4,0
853,15,7,2,1,5,0,5,0
854,23,9,2,0,3,1,4,0
855,29,3,2,0,4,2,3,0
856,85,5,2,1,3,2,5,0
857,84,2,2,0,1,1,1,0
858,79,5,3,0,2,2,2,0
859,17,7,3,0,4,2,3,0
860,21,7,3,0,2,0,3,0
861,73,7,3,0,4,0,5,0
862,34,2,2,0,2,2,1,0
863,16,6,2,1,1,2,2,0
864,16,7,3,0,5,2,5,0
865,42,5,2,0,3,0,4,0
866,57,5,3,1,4,2,5,0
867,77,7,3,0,5,2,5,0
868,75,7,2,0,4,0,4,0
869,66,5,1,1,3,2,NA,1
870,85,6,2,0,5,2,5,0
871,18,3,2,1,2,2,3,0
872,22,9,2,0,3,1,4,0
873,43,5,3,1,4,1,5,0
874,46,2,3,1,1,0,1,0
875,37,3,2,1,2,2,2,0
876,75,5,2,0,5,1,NA,1
877,78,6,2,0,5,2,5,0
878,45,6,2,1,1,0,2,0
879,27,1,2,0,2,0,1,0
880,31,1,2,1,4,2,4,0
881,39,7,1,1,5,0,5,0
882,62,3,2,0,5,0,5,0
883,78,6,2,1,1,1,2,0
884,37,6,2,1,5,0,NA,1
885,78,8,2,0,5,0,5,0
886,49,6,2,0,3,0,2,0
887,64,6,1,0,2,1,3,0
888,33,3,2,0,2,0,1,0
889,55,7,1,1,1,2,2,0
890,57,1,3,1,4,1,5,0
891,55,7,2,1,1,0,1,0
892,47,7,2,1,5,2,5,0
893,60,4,2,1,5,2,NA,1
894,78,5,3,0,4,2,5,0
895,51,5,2,1,5,1,5,0
896,63,5,3,0,4,0,NA,1
897,70,3,2,0,5,2,5,0
898,46,6,2,0,1,1,2,0
899,44,8,2,0,3,2,4,0
900,35,9,1,1,4,0,4,0
901,21,5,2,0,2,0,3,0
902,26,7,2,1,4,1,5,0
903,80,6,3,0,5,0,5,0
904,83,9,2,0,3,0,4,0
905,73,5,3,1,3,1,4,0
906,53,9,3,1,2,2,3,0
907,68,9,2,0,2,2,4,0
908,18,3,2,1,1,0,2,0
909,40,7,3,0,5,1,5,0
910,43,6,2,0,4,2,NA,1
911,56,8,2,0,3,1,4,0
912,17,4,1,0,3,2,3,0
913,77,4,2,0,5,1,5,0
914,43,5,2,0,5,2,NA,1
915,83,5,3,1,1,2,NA,1
916,68,6,2,1,2,0,1,0
917,40,6,2,0,4,2,NA,1
918,73,5,3,0,5,2,NA,1
919,63,8,3,1,2,0,3,0
920,56,6,1,0,2,1,3,0
921,34,5,3,1,2,0,NA,1
922,29,6,2,0,3,2,2,0
923,83,8,1,1,3,2,4,0
924,46,6,2,1,2,0,2,0
925,39,7,2,1,2,0,2,0
926,46,8,3,0,5,2,4,0
927,62,5,2,1,5,0,5,0
928,16,6,3,0,2,2,2,0
929,65,7,2,1,5,1,5,0
930,32,6,2,1,1,1,2,0
931,32,8,2,1,5,1,NA,1
932,78,3,2,1,3,1,4,0
933,42,9,2,0,4,0,4,0
934,51,3,3,0,2,0,3,0
935,63,5,3,0,3,1,3,0
936,68,6,1,0,1,2,NA,1
937,24,6,2,0,1,0,1,0
938,42,5,2,1,3,1,4,0
939,80,3,3,0,3,1,4,0
940,50,4,1,0,4,2,4,0
941,59,1,2,1,1,1,2,0
942,64,5,3,1,1,0,NA,1
943,79,9,2,0,5,1,5,0
944,34,3,2,0,1,0,1,0
945,39,5,2,0,3,1,4,0
946,72,4,3,1,3,0,4,0
947,49,4,1,1,4,1,3,0
948,71,1,2,1,1,1,2,0
949,73,1,3,1,5,1,5,0
950,52,1,3,0,1,0,1,0
951,60,4,3,1,4,1,5,0
952,28,8,2,0,2,2,NA,1
953,72,2,2,0,4,2,5,0
954,52,6,2,0,5,2,5,0
955,20,5,3,1,2,2,2,0
956,61,6,1,0,2,2,3,0
957,19,3,2,1,4,2,5,0
958,38,6,3,0,3,2,5,0
959,56,5,1,0,5,0,5,0
960,64,5,3,1,3,1,4,0
961,75,6,1,1,3,2,NA,1
962,36,3,2,0,5,0,5,0
963,69,5,3,0,1,0,1,0
964,80,4,3,1,2,0,3,0
965,32,2,2,1,5,1,5,0
966,82,7,2,0,1,0,4,0
967,50,1,2,0,2,2,3,0
968,66,6,2,1,3,1,4,0
969,83,6,2,0,2,2,3,0
970,61,8,2,0,2,2,2,0
971,33,5,2,0,4,1,5,0
972,36,4,1,1,5,1,5,0
973,33,7,2,0,3,2,3,0
974,31,1,3,1,4,0,5,0
975,31,5,1,1,5,0,5,0
976,77,3,2,0,3,1,3,0
977,58,2,3,0,3,2,3,0
978,61,6,2,1,4,0,5,0
979,61,9,2,1,1,0,1,0
980,72,7,2,1,2,1,NA,1
981,60,9,3,1,4,1,5,0
982,24,7,3,1,2,0,1,0
983,84,7,3,1,1,1,2,0
984,35,6,3,1,5,1,NA,1
985,55,1,2,1,5,1,5,0
986,77,7,2,1,5,0,NA,1
987,22,9,3,1,2,0,3,0
988,40,6,3,0,5,1,5,0
989,24,2,2,0,5,1,5,0
990,35,6,1,0,5,0,5,0
991,45,9,3,0,2,0,3,0
992,43,6,2,1,5,0,5,0
993,19,9,3,1,1,1,2,0
994,67,4,3,0,3,0,3,0
995,65,3,2,0,5,0,5,0
996,45,7,2,1,4,1,5,0
997,60,9,2,1,2,2,3,0
998,46,6,3,0,1,0,1,0
999,29,1,1,0,4,1,5,0
1000,20,7,2,1,5,1,NA,1
1001,80,5,2,1,3,1,4,0
1002,48,9,3,1,5,2,5,0
1003,54,2,2,1,1,0,1,0
1004,33,7,3,0,5,2,5,0
1005,33,8,2,1,5,1,5,0
1006,21,1,2,0,1,1,1,0
1007,75,1,3,0,3,1,3,0
1008,45,8,2,0,1,0,3,0
1009,27,5,2,0,4,0,NA,1
1010,60,8,2,0,1,2,2,0
1011,85,1,3,1,3,0,4,0
1012,19,2,2,0,4,0,NA,1
1013,43,5,2,0,3,1,4,0
1014,66,5,2,1,5,2,5,0
1015,73,5,2,1,3,2,4,0
1016,43,3,1,0,1,0,1,0
1017,42,1,3,1,4,2,4,0
1018,23,4,3,0,4,0,5,0
1019,24,3,3,0,3,1,3,0
1020,53,2,1,0,1,2,1,0
1021,65,9,3,1,5,0,5,0
1022,68,2,2,0,5,0,5,0
1023,31,9,3,1,3,2,3,0
1024,16,1,2,1,5,2,5,0
1025,73,4,2,1,1,2,2,0
1026,67,6,2,0,1,1,2,0
1027,60,8,3,1,4,0,5,0
1028,37,7,1,1,5,0,5,0
1029,19,9,2,0,5,2,5,0
1030,70,7,2,0,2,0,2,0
1031,60,3,3,1,3,0,5,0
1032,61,5,2,0,1,2,2,0
1033,39,3,3,0,3,0,3,0
1034,65,1,2,1,2,1,3,0
1035,78,9,2,0,3,2,3,0
1036,83,5,3,0,2,2,NA,1
1037,83,8,1,0,2,1,2,0
1038,45,8,2,1,5,2,5,0
1039,58,5,2,1,4,0,NA,1
1040,22,6,3,1,2,1,3,0
1041,36,6,3,1,1,1,2,0
1042,77,4,2,0,5,1,5,0
1043,66,8,3,0,3,2,4,0
1044,84,6,2,1,1,1,1,0
1045,85,7,2,1,3,1,NA,1
1046,26,3,2,1,2,2,3,0
1047,55,1,2,1,4,1,5,0
1048,24,5,1,1,2,0,4,0
1049,32,2,2,1,5,2,5,0
1050,36,9,2,1,4,2,5,0
1051,74,8,3,1,5,0,5,0
1052,27,9,3,1,1,2,NA,1
1053,40,5,2,0,1,2,1,0
1054,76,9,2,1,5,2,5,0
1055,43,4,2,0,2,2,NA,1
1056,64,5,3,1,3,2,5,0
1057,63,5,2,0,4,0,5,0
1058,77,5,2,1,1,2,NA,1
1059,44,4,3,1,4,0,4,0
1060,24,7,2,1,1,0,2,0
1061,15,4,2,0,3,2,4,0
1062,34,9,2,1,1,2,1,0
1063,62,8,2,1,5,0,3,0
1064,84,5,2,0,4,2,5,0
1065,29,8,2,1,4,0,3,0
1066,52,2,2,1,1,0,5,0
1067,69,6,3,0,5,1,5,0
1068,55,2,2,1,5,2,5,0
1069,63,4,3,0,1,1,1,0
1070,28,5,1,1,5,1,5,0
1071,16,2,2,1,3,1,4,0
1072,29,7,3,0,3,2,3,0
1073,15,7,2,0,5,0,5,0
1074,42,1,2,0,5,0,5,0
1075,20,4,3,0,5,1,5,0
1076,66,3,2,0,2,2,NA,1
1077,59,4,2,1,2,2,NA,1
1078,16,8,3,1,1,1,1,0
1079,61,4,3,1,4,1,4,0
1080,37,4,3,0,5,2,5,0
1081,42,7,2,0,2,1,3,0
1082,37,6,3,1,3,1,4,0
1083,46,6,2,1,2,1,3,0
1084,71,4,2,1,1,1,NA,1
1085,51,3,3,0,1,2,3,0
1086,27,5,3,1,1,2,1,0
1087,76,8,3,1,1,0,2,0
1088,67,5,2,1,2,2,3,0
1089,52,1,2,1,2,2,2,0
1090,51,7,2,0,5,0,5,0
1091,15,9,3,1,2,2,2,0
1092,46,9,1,1,1,2,NA,1
1093,24,3,2,0,5,2,5,0
1094,70,9,2,1,5,0,NA,1
1095,65,7,2,1,1,0,2,0
1096,58,4,1,0,3,2,4,0
1097,53,6,3,0,2,1,3,0
1098,77,6,3,1,1,2,2,0
1099,36,9,2,1,3,0,3,0
1100,58,8,3,1,1,1,1,0
1101,32,8,3,1,1,1,2,0
1102,20,7,3,0,2,2,3,0
1103,40,5,3,1,3,0,5,0
1104,40,5,2,1,4,0,4,0
1105,19,6,1,0,4,2,5,0
1106,62,7,2,1,1,1,2,0
1107,41,7,2,0,3,1,4,0
1108,40,7,3,0,1,2,2,0
1109,25,9,3,1,1,1,2,0
1110,79,8,2,1,3,2,3,0
1111,65,8,2,0,3,2,3,0
1112,43,3,1,1,1,0,3,0
1113,27,4,3,1,1,2,1,0
1114,34,3,3,0,5,0,NA,1
1115,76,7,2,0,4,0,5,0
1116,24,7,3,1,5,0,5,0
1117,47,6,2,1,1,1,1,0
1118,42,5,2,0,3,1,2,0
1119,23,9,2,0,1,2,1,0
1120,30,7,1,1,5,1,5,0
1121,67,7,3,0,3,2,4,0
1122,43,1,2,0,3,1,4,0
1123,40,3,3,1,5,0,4,0
1124,39,1,2,0,2,2,3,0
1125,69,4,3,0,2,2,3,0
1126,17,1,2,0,3,0,4,0
1127,72,9,2,1,3,2,NA,1
1128,47,9,2,0,2,1,3,0
1129,23,9,2,0,2,2,3,0
1130,50,6,3,1,1,0,2,0
1131,17,5,2,1,2,0,1,0
1132,37,2,2,0,5,1,5,0
1133,71,5,3,1,4,0,4,0
1134,85,5,2,0,5,2,5,0
1135,47,7,2,1,2,2,3,0
1136,84,9,2,1,5,0,5,0
1137,72,6,1,0,2,2,NA,1
1138,85,9,1,0,5,1,5,0
1139,63,4,1,0,1,0,1,0
1140,41,7,3,1,5,1,NA,1
1141,34,7,2,0,3,0,3,0
1142,51,8,2,0,5,1,5,0
1143,17,8,3,0,3,0,NA,1
1144,30,7,3,0,4,0,3,0
1145,35,7,2,0,1,2,1,0
1146,74,7,3,0,2,2,NA,1
1147,82,2,3,1,3,1,4,0
1148,56,7,3,1,4,2,4,0
1149,84,8,2,1,5,1,NA,1
1150,27,9,3,1,4,0,5,0
1151,73,6,2,0,1,1,1,0
1152,16,4,2,0,5,2,5,0
1153,50,8,3,0,3,0,3,0
1154,69,4,3,1,1,2,3,0
1155,16,6,3,0,4,1,5,0
1156,84,1,3,1,2,1,3,0
1157,24,8,1,0,5,0,NA,1
1158,19,5,2,1,4,1,5,0
1159,28,1,1,0,2,1,2,0
1160,62,6,2,0,3,0,4,0
1161,45,9,3,0,3,2,2,0
1162,37,9,2,0,1,0,1,0
1163,31,8,3,1,5,2,5,0
1164,19,1,2,1,2,0,2,0
1165,22,1,3,0,3,0,5,0
1166,41,9,2,0,3,1,4,0
1167,59,8,2,0,5,1,5,0
1168,79,2,2,0,4,0,5,0
1169,36,3,3,1,2,2,NA,1
1170,15,3,3,1,3,1,4,0
1171,64,8,1,1,1,0,1,0
1172,67,5,2,0,2,1,4,0
1173,76,7,3,0,4,0,4,0
1174,65,9,2,0,4,1,5,0
1175,79,1,3,0,4,2,5,0
1176,19,5,3,1,2,0,3,0
1177,79,8,3,0,3,0,2,0
1178,51,7,3,0,1,0,1,0
1179,84,9,2,0,2,1,2,0
1180,67,6,2,1,5,0,4,0
1181,82,4,2,1,4,1,5,0
1182,57,6,3,1,1,1,1,0
1183,53,9,2,0,1,2,3,0
1184,78,4,1,1,4,0,3,0
1185,61,5,2,1,3,2,3,0
1186,38,4,2,1,2,1,3,0
1187,53,6,2,0,4,1,NA,1
1188,80,4,2,1,3,0,2,0
1189,29,7,3,0,2,1,2,0
1190,76,5,3,1,5,1,5,0
1191,48,2,2,1,2,1,2,0
1192,36,1,3,0,3,0,3,0
1193,70,1,2,1,3,1,NA,1
1194,79,7,3,1,3,0,NA,1
1195,32,4,3,1,5,1,5,0
1196,51,2,3,1,4,2,5,0
1197,61,9,3,1,2,2,4,0
1198,37,2,2,1,5,2,5,0
1199,62,9,2,1,3,0,2,0
1200,70,9,1,1,2,2,3,0
1201,19,7,2,1,3,0,2,0
1202,45,6,3,0,4,0,5,0
1203,49,2,2,1,3,2,5,0
1204,58,5,2,0,5,2,5,0
1205,42,1,2,0,2,0,NA,1
1206,57,9,2,0,1,0,1,0
1207,15,6,2,0,3,0,4,0
1208,34,6,3,1,1,2,2,0
1209,62,8,2,0,4,1,4,0
1210,39,9,2,1,3,1,3,0
1211,26,7,2,1,2,1,3,0
1212,30,2,2,0,1,2,1,0
1213,23,7,1,1,1,1,2,0
1214,80,9,2,1,3,1,4,0
1215,73,6,1,1,1,2,3,0
1216,84,7,3,1,1,1,2,0
1217,36,5,2,1,3,0,4,0
1218,39,8,2,1,5,0,5,0
1219,78,5,2,0,5,1,5,0
1220,35,9,3,1,3,0,4,0
1221,20,8,2,1,4,0,5,0
1222,25,7,2,0,1,1,1,0
1223,34,1,2,0,2,1,3,0
1224,55,3,3,0,5,1,5,0
1225,62,3,3,1,1,1,1,0
1226,29,5,2,1,4,0,4,0
1227,32,1,2,0,4,2,5,0
1228,82,1,3,1,3,0,3,0
1229,82,5,3,1,3,2,5,0
1230,26,5,2,1,4,0,4,0
1231,84,5,2,0,4,1,5,0
1232,45,4,2,0,4,0,5,0
1233,63,5,3,1,2,0,1,0
1234,75,8,2,0,5,2,5,0
1235,21,7,3,0,4,0,4,0
1236,45,1,2,1,2,0,1,0
1237,48,6,3,1,5,0,5,0
1238,47,4,2,1,4,0,5,0
1239,44,4,2,1,1,1,2,0
1240,67,2,3,1,5,2,4,0
1241,84,5,3,1,3,0,NA,1
1242,27,7,2,0,5,1,5,0
1243,67,1,3,0,5,0,5,0
1244,43,5,2,1,4,1,4,0
1245,18,4,2,0,4,0,5,0
1246,33,9,2,0,4,0,5,0
1247,84,8,2,1,2,0,2,0
1248,45,4,3,0,1,0,1,0
1249,79,7,2,0,2,0,3,0
1250,21,4,2,0,4,1,5,0
1251,27,3,2,0,2,0,2,0
1252,59,3,2,1,1,2,1,0
1253,81,4,2,1,2,0,3,0
1254,31,5,2,1,4,0,4,0
1255,59,1,2,1,1,2,2,0
1256,43,6,2,0,5,2,5,0
1257,80,4,2,1,3,2,2,0
1258,80,2,3,0,2,1,2,0
1259,21,6,2,0,5,1,5,0
1260,67,7,2,0,2,1,3,0
1261,51,5,2,1,3,1,4,0
1262,49,2,2,1,3,2,3,0
1263,82,4,2,0,1,0,2,0
1264,66,5,2,0,3,1,4,0
1265,65,9,2,1,2,2,3,0
1266,53,6,3,0,2,1,3,0
1267,84,5,3,0,3,1,3,0
1268,44,8,2,0,3,1,4,0
1269,81,7,3,0,3,1,NA,1
1270,71,3,2,0,3,0,3,0
1271,15,7,2,0,2,0,3,0
1272,43,9,2,1,2,2,2,0
1273,40,3,2,0,2,0,3,0
1274,52,6,3,1,3,1,5,0
1275,83,4,2,0,3,1,NA,1
1276,83,6,2,0,2,2,3,0
1277,47,7,2,0,5,2,5,0
1278,62,5,3,0,4,2,5,0
1279,27,6,2,0,5,1,5,0
1280,29,8,2,0,2,0,2,0
1281,49,1,3,0,2,1,3,0
1282,44,6,2,0,1,2,2,0
1283,45,3,2,0,2,0,3,0
1284,33,9,3,0,4,0,5,0
1285,66,5,2,1,4,0,2,0
1286,26,5,2,1,2,2,2,0
1287,52,8,3,0,3,2,5,0
1288,36,5,2,0,4,2,NA,1
1289,39,4,2,1,4,0,4,0
1290,71,7,2,1,2,2,2,0
1291,20,5,2,1,5,0,5,0
1292,83,9,2,1,1,1,2,0
1293,80,1,3,0,2,0,NA,1
1294,33,3,3,0,3,1,5,0
1295,52,4,3,1,4,2,5,0
1296,67,1,2,0,1,2,NA,1
1297,33,6,2,1,3,1,3,0
1298,15,3,2,0,5,0,4,0
1299,64,8,3,0,1,0,2,0
1300,41,2,2,1,5,0,5,0
1301,25,5,2,1,3,0,2,0
1302,52,3,3,0,1,2,2,0
1303,56,5,2,1,1,0,1,0
1304,35,1,3,0,5,2,5,0
1305,54,7,2,1,1,2,2,0
1306,21,3,1,0,2,2,2,0
1307,45,8,2,1,1,2,2,0
1308,71,9,2,1,5,0,5,0
1309,74,4,3,0,5,1,NA,1
1310,18,9,3,0,3,2,2,0
1311,54,9,1,1,3,1,NA,1
1312,24,6,3,0,4,0,5,0
1313,20,9,2,0,2,1,3,0
1314,62,7,2,0,5,1,5,0
1315,74,1,3,0,3,2,4,0
1316,18,7,3,0,4,2,4,0
1317,47,5,2,0,3,2,NA,1
1318,22,7,1,1,4,2,5,0
1319,28,5,2,0,5,0,3,0
1320,17,8,2,1,4,1,5,0
1321,30,6,2,0,5,1,5,0
1322,27,1,3,0,1,1,2,0
1323,18,4,3,0,2,2,3,0
1324,44,5,2,0,2,0,1,0
1325,19,1,1,1,5,1,5,0
1326,44,3,2,1,5,2,4,0
1327,49,4,3,1,4,2,5,0
1328,52,5,3,0,5,1,NA,1
1329,23,8,3,0,3,2,3,0
1330,40,1,2,0,3,1,3,0
1331,17,5,3,0,4,0,5,0
1332,66,4,3,0,2,2,2,0
1333,26,3,3,0,1,0,1,0
1334,20,8,2,1,1,2,1,0
1335,43,1,3,1,3,1,4,0
1336,23,6,3,1,2,0,2,0
1337,82,7,3,0,2,0,3,0
1338,27,9,2,0,3,2,4,0
1339,50,5,1,1,5,2,5,0
1340,29,9,2,1,2,0,3,0
1341,49,4,1,0,4,2,4,0
1342,44,8,2,0,3,2,3,0
1343,69,8,2,1,1,2,2,0
1344,34,7,2,0,3,0,4,0
1345,16,9,3,0,2,2,3,0
1346,53,5,2,0,5,2,3,0
1347,50,9,2,1,1,0,1,0
1348,27,7,1,0,5,1,5,0
1349,49,6,3,1,5,0,4,0
1350,61,3,3,0,4,2,3,0
1351,68,4,2,0,1,0,3,0
1352,36,6,3,0,3,1,4,0
1353,32,7,3,0,4,2,4,0
1354,48,2,2,0,2,2,2,0
1355,65,5,3,0,5,0,4,0
1356,64,4,2,1,5,1,5,0
1357,77,8,2,0,3,0,2,0
1358,49,6,2,0,4,0,4,0
1359,57,6,3,1,3,0,3,0
1360,50,1,2,1,4,1,NA,1
1361,62,7,3,0,2,0,1,0
1362,49,9,2,0,2,1,2,0
1363,35,4,2,0,4,1,5,0
1364,43,2,1,0,3,1,5,0
1365,48,8,1,1,1,1,2,0
1366,18,7,3,0,1,1,2,0
1367,18,7,1,0,4,1,5,0
1368,31,7,2,1,3,1,3,0
1369,60,4,2,0,1,2,2,0
1370,81,3,3,1,3,1,4,0
1371,45,5,3,0,1,0,1,0
1372,22,6,1,1,3,0,NA,1
1373,28,5,3,1,2,0,2,0
1374,44,7,3,1,2,1,3,0
1375,84,3,1,1,5,0,5,0
1376,17,9,2,0,1,0,3,0
1377,70,1,2,1,5,0,NA,1
1378,40,3,2,0,4,1,5,0
1379,50,3,2,1,3,0,4,0
1380,44,3,3,0,1,0,NA,1
1381,71,9,3,0,3,1,4,0
1382,35,7,2,1,4,2,4,0
1383,49,8,2,0,5,1,5,0
1384,74,8,2,1,2,2,2,0
1385,55,2,2,1,1,0,1,0
1386,46,5,3,0,4,1,NA,1
1387,22,8,3,0,3,1,4,0
1388,51,8,2,1,1,2,1,0
1389,29,9,3,0,4,1,5,0
1390,65,7,1,1,2,2,3,0
1391,77,8,3,1,2,1,3,0
1392,55,4,2,0,2,2,3,0
1393,16,7,3,1,4,1,4,0
1394,15,9,2,0,4,1,4,0
1395,65,7,3,0,4,2,5,0
1396,61,3,3,1,2,0,4,0
1397,42,5,2,1,1,0,NA,1
1398,34,9,2,0,1,0,2,0
1399,52,3,1,0,2,2,3,0
1400,71,1,2,1,4,0,5,0
1401,47,4,2,0,4,0,4,0
1402,26,5,2,0,4,2,5,0
1403,16,7,3,1,5,2,5,0
1404,85,3,3,0,4,2,3,0
1405,75,7,3,1,3,1,4,0
1406,23,1,3,0,4,2,5,0
1407,32,5,3,1,3,1,NA,1
1408,52,5,2,0,1,2,1,0
1409,58,1,3,1,1,0,1,0
1410,24,5,2,1,2,1,3,0
1411,71,4,3,1,3,0,NA,1
1412,48,8,3,0,1,1,2,0
1413,15,4,3,0,3,1,4,0
1414,82,6,2,1,5,1,5,0
1415,50,1,3,0,5,1,5,0
1416,58,6,1,0,4,2,4,0
1417,39,7,2,0,3,0,4,0
1418,68,2,2,0,4,2,4,0
1419,34,6,3,1,1,0,1,0
1420,40,9,2,1,5,1,NA,1
1421,63,7,3,0,3,0,3,0
1422,48,6,2,1,5,2,5,0
1423,47,6,1,1,1,2,2,0
1424,25,7,3,1,1,1,2,0
1425,73,9,2,1,5,2,5,0
1426,40,7,2,1,4,0,5,0
1427,81,9,2,1,3,0,3,0
1428,49,7,3,1,2,0,2,0
1429,33,9,2,0,5,0,NA,1
1430,54,5,1,0,4,2,NA,1
1431,82,8,3,0,5,0,5,0
1432,42,5,2,1,2,0,4,0
1433,64,4,2,1,3,2,3,0
1434,39,5,1,0,2,2,2,0
1435,54,3,1,0,2,1,3,0
1436,84,3,2,0,5,2,4,0
1437,61,6,2,0,3,2,3,0
1438,31,8,2,0,4,0,4,0
1439,21,9,3,1,1,1,2,0
1440,24,6,3,0,2,0,4,0
1441,49,5,3,1,3,0,2,0
1442,41,7,3,1,4,1,5,0
1443,85,5,2,0,2,0,NA,1
1444,29,4,2,1,2,0,1,0
1445,35,8,3,0,1,0,1,0
1446,69,4,1,1,4,2,4,0
1447,17,2,2,0,2,0,2,0
1448,28,6,3,0,2,2,3,0
1449,60,6,2,1,5,2,5,0
1450,76,6,2,0,5,1,5,0
1451,24,4,3,0,2,2,NA,1
1452,72,7,2,0,3,1,4,0
1453,28,3,3,1,2,2,2,0
1454,82,1,2,0,1,1,2,0
1455,48,7,2,0,4,2,5,0
1456,52,5,3,1,4,0,2,0
1457,68,4,2,0,2,0,2,0
1458,20,7,3,0,5,0,4,0
1459,40,6,1,0,2,2,2,0
1460,52,1,2,1,2,1,3,0
1461,80,7,3,0,2,1,3,0
1462,24,9,3,0,2,0,NA,1
1463,62,6,2,0,3,0,3,0
1464,18,2,2,0,4,2,4,0
1465,73,9,1,0,1,0,1,0
1466,36,9,2,1,1,0,2,0
1467,20,5,2,0,5,1,5,0
1468,69,3,3,0,4,2,5,0
1469,78,2,2,1,1,1,1,0
1470,61,9,3,1,1,2,NA,1
1471,64,6,2,0,5,1,5,0
1472,25,9,2,0,3,0,3,0
1473,61,4,2,1,1,2,3,0
1474,79,3,3,0,3,2,3,0
1475,49,5,2,0,4,0,NA,1
1476,80,8,3,1,5,0,5,0
1477,79,2,2,1,2,0,2,0
1478,21,3,2,1,5,1,5,0
1479,69,9,1,0,3,2,4,0
1480,47,7,2,0,1,1,2,0
1481,20,4,2,1,2,2,1,0
1482,24,1,2,0,3,2,2,0
1483,66,6,2,1,2,1,3,0
1484,76,6,2,1,5,2,5,0
1485,42,4,1,0,5,1,5,0
1486,76,6,3,1,3,1,4,0
1487,18,8,2,1,2,2,1,0
1488,42,9,3,1,2,2,5,0
1489,50,4,3,1,1,2,NA,1
1490,80,2,2,0,4,1,4,0
1491,29,7,2,1,2,2,1,0
1492,42,9,2,0,4,1,NA,1
1493,85,5,2,1,1,0,2,0
1494,71,6,2,0,4,2,NA,1
1495,27,3,1,0,3,1,NA,1
1496,18,2,2,1,5,1,5,0
1497,42,7,1,0,3,0,NA,1
1498,24,6,3,1,3,0,4,0
1499,54,4,2,0,4,1,4,0
1500,75,5,2,0,4,0,5,0
1501,62,6,3,1,2,1,NA,1
1502,71,9,2,1,3,1,4,0
1503,34,8,3,0,1,2,2,0
1504,19,7,2,0,5,1,5,0
1505,18,2,2,0,2,1,3,0
1506,30,9,3,1,5,0,5,0
1507,80,9,3,0,4,1,5,0
1508,36,3,2,1,3,1,4,0
1509,84,1,2,1,2,1,4,0
1510,47,8,2,1,2,0,3,0
1511,27,4,3,1,4,1,5,0
1512,75,4,2,0,4,2,5,0
